Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,45.959999,47.470001,45.770000,47.080002,41.343914,18774600
2019-01-03,46.150002,46.279999,44.389999,44.490002,39.069485,32267300
2019-01-04,45.840000,47.570000,45.540001,47.220001,41.466862,35447300
2019-01-07,47.099998,48.000000,46.750000,47.439999,41.660061,22736800
2019-01-08,47.799999,48.029999,46.779999,47.740002,41.923504,22749200
2019-01-09,47.959999,48.570000,47.779999,48.009998,42.160610,22554500
2019-01-10,47.750000,48.650002,47.410000,48.560001,42.643608,27202600
2019-01-11,48.099998,49.290001,48.049999,48.930000,42.968529,21751300
2019-01-14,48.459999,48.830002,48.299999,48.349998,42.459187,19193900
2019-01-15,48.709999,49.130001,48.439999,48.599998,42.678726,22480800
2019-01-16,48.599998,48.889999,48.080002,48.130001,42.265991,19057700
2019-01-17,48.000000,48.840000,47.910000,48.470001,42.564571,17448700
2019-01-18,49.110001,49.380001,48.689999,49.189999,43.196850,29874600
2019-01-22,48.959999,48.980000,47.869999,48.270000,42.388943,25940700
2019-01-23,48.410000,48.799999,47.520000,47.939999,42.099140,18960700
2019-01-24,48.700001,50.040001,48.599998,49.759998,43.697392,50578300
2019-01-25,46.849998,47.430000,45.750000,47.040001,41.308792,86455700
2019-01-28,46.130001,46.730000,46.049999,46.709999,41.018997,35928700
2019-01-29,46.779999,46.970001,46.330002,46.540001,40.869717,20988300
2019-01-30,46.680000,47.680000,46.450001,47.540001,41.747875,26931700
2019-01-31,46.700001,47.180000,46.099998,47.119999,41.379055,43051300
2019-02-01,47.060001,49.049999,47.009998,48.730000,42.792881,37442900
2019-02-04,48.619999,49.240002,48.240002,49.220001,43.223198,20905000
2019-02-05,49.180000,50.720001,49.180000,50.009998,43.916943,31641600
2019-02-06,49.950001,50.639999,49.820000,49.900002,44.098099,21647800
2019-02-07,49.500000,49.849998,48.680000,49.230000,43.506001,27825900
2019-02-08,48.770000,49.020000,48.009998,48.840000,43.161343,18851200
2019-02-11,49.020000,49.320000,48.580002,48.770000,43.099495,18004100
2019-02-12,49.360001,50.139999,49.270000,50.009998,44.195316,18050100
2019-02-13,50.130001,50.810001,50.000000,50.470001,44.601830,17712800
2019-02-14,50.410000,51.040001,50.349998,50.810001,44.902298,17545400
2019-02-15,51.250000,51.669998,51.090000,51.660000,45.653461,22520400
2019-02-19,51.349998,51.709999,51.340000,51.400002,45.423702,15611800
2019-02-20,51.630001,51.730000,51.060001,51.389999,45.414856,21607700
2019-02-21,51.320000,51.840000,51.209999,51.410000,45.432533,16162100
2019-02-22,52.700001,52.980000,52.060001,52.490002,46.386959,31934100
2019-02-25,53.060001,53.610001,52.860001,53.099998,46.926037,20711800
2019-02-26,53.009998,53.369999,52.910000,53.230000,47.040924,16082200
2019-02-27,52.759998,53.380001,52.509998,53.240002,47.049759,17590300
2019-02-28,52.919998,53.180000,52.810001,52.959999,46.802315,18388800
2019-03-01,53.439999,53.680000,52.889999,53.299999,47.102783,18359300
2019-03-04,53.750000,54.099998,53.209999,53.939999,47.668362,21706100
2019-03-05,53.849998,53.990002,53.110001,53.680000,47.438599,21057700
2019-03-06,53.630001,53.650002,52.939999,52.950001,46.793476,14740500
2019-03-07,52.770000,52.990002,52.360001,52.599998,46.484173,17803000
2019-03-08,51.970001,52.560001,51.700001,52.480000,46.378120,16793900
2019-03-11,52.880001,53.650002,52.570000,53.349998,47.146969,18963000
2019-03-12,53.340000,53.959999,53.180000,53.570000,47.341393,20782100
2019-03-13,54.000000,54.570000,53.650002,54.369999,48.048378,25522300
2019-03-14,54.299999,54.450001,53.330002,53.439999,47.226509,26647100
2019-03-15,53.680000,54.689999,53.680000,54.330002,48.013031,46512500
2019-03-18,54.419998,54.509998,53.869999,54.099998,47.809769,16274000
2019-03-19,54.470001,54.650002,54.000000,54.169998,47.871628,18274800
2019-03-20,54.060001,54.400002,53.610001,53.820000,47.562317,24325300
