Date,Open,High,Low,Close,Adj Close,Volume
2022-04-07,109.879997,113.489998,109.559998,112.750000,112.750000,750900
2022-04-08,112.669998,113.180000,110.419998,110.709999,110.709999,957300
2022-04-11,109.580002,110.000000,106.610001,107.050003,107.050003,820400
2022-04-12,105.980003,107.099998,99.589996,100.059998,100.059998,1824800
2022-04-13,99.769997,101.919998,99.769997,100.879997,100.879997,875500
2022-04-14,100.510002,100.510002,96.680000,97.320000,97.320000,1472800
2022-04-18,97.610001,97.680000,93.860001,94.570000,94.570000,982100
2022-04-19,94.349998,95.669998,92.919998,95.330002,95.330002,2917000
2022-04-20,95.320000,97.349998,92.209999,96.150002,96.150002,1647100
2022-04-21,97.500000,97.910004,91.669998,92.279999,92.279999,1107700
2022-04-22,91.870003,92.129997,90.419998,90.669998,90.669998,1839000
2022-04-25,89.599998,91.589996,88.464996,90.139999,90.139999,1547500
2022-04-26,89.300003,89.330002,86.650002,87.199997,87.199997,1491000
2022-04-27,87.650002,89.570000,87.190002,88.260002,88.260002,1441000
2022-04-28,89.050003,90.099998,86.339996,89.900002,89.900002,1743300
2022-04-29,89.980003,94.370003,89.220001,90.559998,90.559998,2169300
2022-05-02,89.459999,91.050003,87.709999,90.120003,90.120003,1599200
2022-05-03,93.720001,103.320000,93.720001,99.949997,99.949997,3338700
2022-05-04,100.260002,104.300003,98.169998,104.080002,104.080002,2400000
2022-05-05,102.279999,103.080002,99.190002,100.650002,100.650002,1551100
2022-05-06,99.419998,100.860001,96.580002,98.830002,98.830002,1204100
2022-05-09,96.959999,97.565002,92.830002,93.699997,93.699997,1651800
2022-05-10,95.129997,96.099998,92.320999,94.470001,94.470001,1339400
2022-05-11,94.029999,96.150002,92.089996,92.349998,92.349998,810600
2022-05-12,91.709999,95.010002,91.080002,95.000000,95.000000,1217300
2022-05-13,96.160004,99.440002,96.160004,98.180000,98.180000,822800
2022-05-16,97.589996,99.660004,96.970001,97.669998,97.669998,656700
2022-05-17,99.550003,100.930000,98.129997,100.760002,100.760002,849000
2022-05-18,99.410004,100.570000,97.720001,97.820000,97.820000,1348900
